Location_ID,Season,Overall_Status
DY-1,Monsoon,UNSAFE
DY-1,Postmonsoon,UNSAFE
DY-1,Premonsoon,UNSAFE
DY-2,Monsoon,UNSAFE
DY-2,Postmonsoon,UNSAFE
DY-2,Premonsoon,UNSAFE
DY-3,Monsoon,UNSAFE
DY-3,Postmonsoon,UNSAFE
DY-3,Premonsoon,SAFE
DY-4,Monsoon,UNSAFE
DY-4,Postmonsoon,UNSAFE
DY-4,Premonsoon,UNSAFE
DY-5,Monsoon,UNSAFE
DY-5,Postmonsoon,CAUTION
DY-5,Premonsoon,UNSAFE
IA-1,Monsoon,UNSAFE
IA-1,Postmonsoon,UNSAFE
IA-1,Premonsoon,UNSAFE
IA-2,Monsoon,UNSAFE
IA-2,Postmonsoon,UNSAFE
IA-2,Premonsoon,UNSAFE
IA-3,Monsoon,UNSAFE
IA-3,Postmonsoon,UNSAFE
IA-3,Premonsoon,UNSAFE
IA-4,Monsoon,UNSAFE
IA-4,Postmonsoon,UNSAFE
IA-4,Premonsoon,SAFE
IA-5,Monsoon,UNSAFE
IA-5,Postmonsoon,UNSAFE
IA-5,Premonsoon,UNSAFE
PD-1,Monsoon,UNSAFE
PD-1,Postmonsoon,UNSAFE
PD-1,Premonsoon,UNSAFE
PD-2,Monsoon,UNSAFE
PD-2,Postmonsoon,UNSAFE
PD-2,Premonsoon,UNSAFE
PD-3,Monsoon,UNSAFE
PD-3,Postmonsoon,UNSAFE
PD-3,Premonsoon,UNSAFE
PD-4,Monsoon,UNSAFE
PD-4,Postmonsoon,UNSAFE
PD-4,Premonsoon,UNSAFE
PD-5,Monsoon,UNSAFE
PD-5,Postmonsoon,UNSAFE
PD-5,Premonsoon,SAFE
SYN-DY-1,Monsoon,UNSAFE
SYN-DY-1,Postmonsoon,UNSAFE
SYN-DY-1,Premonsoon,SAFE
SYN-DY-2,Monsoon,UNSAFE
SYN-DY-2,Postmonsoon,UNSAFE
SYN-DY-2,Premonsoon,UNSAFE
SYN-DY-3,Monsoon,UNSAFE
SYN-DY-3,Postmonsoon,UNSAFE
SYN-DY-3,Premonsoon,UNSAFE
SYN-DY-4,Monsoon,UNSAFE
SYN-DY-4,Postmonsoon,UNSAFE
SYN-DY-4,Premonsoon,CAUTION
SYN-DY-5,Monsoon,UNSAFE
SYN-DY-5,Postmonsoon,UNSAFE
SYN-DY-5,Premonsoon,UNSAFE
SYN-IA-1,Monsoon,UNSAFE
SYN-IA-1,Postmonsoon,UNSAFE
SYN-IA-1,Premonsoon,SAFE
SYN-IA-2,Monsoon,UNSAFE
SYN-IA-2,Postmonsoon,UNSAFE
SYN-IA-2,Premonsoon,UNSAFE
SYN-IA-3,Monsoon,UNSAFE
SYN-IA-3,Postmonsoon,UNSAFE
SYN-IA-3,Premonsoon,SAFE
SYN-IA-4,Monsoon,UNSAFE
SYN-IA-4,Postmonsoon,UNSAFE
SYN-IA-4,Premonsoon,UNSAFE
SYN-IA-5,Monsoon,UNSAFE
SYN-IA-5,Postmonsoon,UNSAFE
SYN-IA-5,Premonsoon,UNSAFE
SYN-PD-1,Monsoon,UNSAFE
SYN-PD-1,Postmonsoon,UNSAFE
SYN-PD-1,Premonsoon,UNSAFE
SYN-PD-2,Monsoon,UNSAFE
SYN-PD-2,Postmonsoon,UNSAFE
SYN-PD-2,Premonsoon,UNSAFE
SYN-PD-3,Monsoon,UNSAFE
SYN-PD-3,Postmonsoon,UNSAFE
SYN-PD-3,Premonsoon,UNSAFE
SYN-PD-4,Monsoon,UNSAFE
SYN-PD-4,Postmonsoon,UNSAFE
SYN-PD-4,Premonsoon,UNSAFE
SYN-PD-5,Monsoon,UNSAFE
SYN-PD-5,Postmonsoon,UNSAFE
SYN-PD-5,Premonsoon,UNSAFE
SYN-X1,Monsoon,UNSAFE
SYN-X1,Postmonsoon,UNSAFE
SYN-X1,Premonsoon,UNSAFE
SYN-X10,Monsoon,UNSAFE
SYN-X10,Postmonsoon,UNSAFE
SYN-X10,Premonsoon,UNSAFE
SYN-X11,Monsoon,UNSAFE
SYN-X11,Postmonsoon,UNSAFE
SYN-X11,Premonsoon,UNSAFE
SYN-X12,Monsoon,UNSAFE
SYN-X12,Postmonsoon,UNSAFE
SYN-X12,Premonsoon,CAUTION
SYN-X13,Monsoon,UNSAFE
SYN-X13,Postmonsoon,UNSAFE
SYN-X13,Premonsoon,SAFE
SYN-X14,Monsoon,UNSAFE
SYN-X14,Postmonsoon,UNSAFE
SYN-X14,Premonsoon,UNSAFE
SYN-X15,Monsoon,UNSAFE
SYN-X15,Postmonsoon,UNSAFE
SYN-X15,Premonsoon,CAUTION
SYN-X16,Monsoon,UNSAFE
SYN-X16,Postmonsoon,UNSAFE
SYN-X16,Premonsoon,UNSAFE
SYN-X17,Monsoon,UNSAFE
SYN-X17,Postmonsoon,UNSAFE
SYN-X17,Premonsoon,UNSAFE
SYN-X18,Monsoon,UNSAFE
SYN-X18,Postmonsoon,UNSAFE
SYN-X18,Premonsoon,UNSAFE
SYN-X19,Monsoon,UNSAFE
SYN-X19,Postmonsoon,UNSAFE
SYN-X19,Premonsoon,UNSAFE
SYN-X2,Monsoon,CAUTION
SYN-X2,Postmonsoon,UNSAFE
SYN-X2,Premonsoon,UNSAFE
SYN-X20,Monsoon,UNSAFE
SYN-X20,Postmonsoon,UNSAFE
SYN-X20,Premonsoon,UNSAFE
SYN-X21,Monsoon,UNSAFE
SYN-X21,Postmonsoon,UNSAFE
SYN-X21,Premonsoon,SAFE
SYN-X22,Monsoon,UNSAFE
SYN-X22,Postmonsoon,UNSAFE
SYN-X22,Premonsoon,UNSAFE
SYN-X23,Monsoon,UNSAFE
SYN-X23,Postmonsoon,UNSAFE
SYN-X23,Premonsoon,SAFE
SYN-X24,Monsoon,UNSAFE
SYN-X24,Postmonsoon,UNSAFE
SYN-X24,Premonsoon,UNSAFE
SYN-X25,Monsoon,UNSAFE
SYN-X25,Postmonsoon,UNSAFE
SYN-X25,Premonsoon,UNSAFE
SYN-X26,Monsoon,UNSAFE
SYN-X26,Postmonsoon,UNSAFE
SYN-X26,Premonsoon,UNSAFE
SYN-X27,Monsoon,UNSAFE
SYN-X27,Postmonsoon,UNSAFE
SYN-X27,Premonsoon,UNSAFE
SYN-X28,Monsoon,UNSAFE
SYN-X28,Postmonsoon,UNSAFE
SYN-X28,Premonsoon,UNSAFE
SYN-X29,Monsoon,UNSAFE
SYN-X29,Postmonsoon,UNSAFE
SYN-X29,Premonsoon,UNSAFE
SYN-X3,Monsoon,UNSAFE
SYN-X3,Postmonsoon,UNSAFE
SYN-X3,Premonsoon,UNSAFE
SYN-X30,Monsoon,UNSAFE
SYN-X30,Postmonsoon,UNSAFE
SYN-X30,Premonsoon,UNSAFE
SYN-X31,Monsoon,UNSAFE
SYN-X31,Postmonsoon,UNSAFE
SYN-X31,Premonsoon,UNSAFE
SYN-X32,Monsoon,UNSAFE
SYN-X32,Postmonsoon,UNSAFE
SYN-X32,Premonsoon,SAFE
SYN-X33,Monsoon,UNSAFE
SYN-X33,Postmonsoon,UNSAFE
SYN-X33,Premonsoon,UNSAFE
SYN-X34,Monsoon,UNSAFE
SYN-X34,Postmonsoon,UNSAFE
SYN-X34,Premonsoon,SAFE
SYN-X35,Monsoon,UNSAFE
SYN-X35,Postmonsoon,UNSAFE
SYN-X35,Premonsoon,SAFE
SYN-X4,Monsoon,UNSAFE
SYN-X4,Postmonsoon,UNSAFE
SYN-X4,Premonsoon,UNSAFE
SYN-X5,Monsoon,UNSAFE
SYN-X5,Postmonsoon,UNSAFE
SYN-X5,Premonsoon,SAFE
SYN-X6,Monsoon,UNSAFE
SYN-X6,Postmonsoon,UNSAFE
SYN-X6,Premonsoon,UNSAFE
SYN-X7,Monsoon,UNSAFE
