Location_ID,Season,Area_Type,Geogenic_Evidence,Anthropogenic_Evidence,Mixed_Evidence,N_Geogenic,N_Anthropogenic,N_Mixed,Dominant_Source,Confidence
PD-1,Premonsoon,PD,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,NO₃=24.0 (>NBL 10 mg/L),Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,1,3,Mixed,Moderate
PD-2,Premonsoon,PD,"Ca/Mg>2 (silicate weathering); Fe=0.39 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",NO₃=28.8 (>NBL 10 mg/L); Cl=54.6 (>NBL 50 mg/L); PIG=4.417 (moderate-high pollution),Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,3,3,Mixed,Moderate
PD-3,Premonsoon,PD,Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering),NO₃=12.3 (>NBL 10 mg/L); PIG=3.178 (moderate-high pollution),Na/Cl≈1 (halite possible); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,2,2,Mixed,Moderate
PD-4,Premonsoon,PD,Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering),NO₃=17.8 (>NBL 10 mg/L); PIG=3.067 (moderate-high pollution),Na/Cl≈1 (halite possible); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,2,2,Mixed,Moderate
PD-5,Premonsoon,PD,Ca/Mg>2 (silicate weathering); NO₃=4.9 (within NBL); Gibbs: Rock-water interaction,,Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,0,3,Mixed,Moderate
IA-1,Premonsoon,IA,"Ca/Mg>2 (silicate weathering); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Fe=0.35 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",NO₃=32.9 (>NBL 10 mg/L); Cl=64.8 (>NBL 50 mg/L); PIG=4.000 (moderate-high pollution),Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange),4,3,2,Mixed,Moderate
IA-2,Premonsoon,IA,"Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); Fe=0.36 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",NO₃=32.6 (>NBL 10 mg/L); PIG=4.071 (moderate-high pollution),Na/Cl≈1 (halite possible); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,2,2,Mixed,Moderate
IA-3,Premonsoon,IA,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,NO₃=22.7 (>NBL 10 mg/L); Cl=58.1 (>NBL 50 mg/L); PIG=2.965 (moderate-high pollution),Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,3,3,Mixed,Moderate
IA-4,Premonsoon,IA,Ca/Mg>2 (silicate weathering); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); NO₃=9.8 (within NBL); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering),Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); PIG=2.529 (moderate-high pollution),CAI>0 (reverse ion exchange),5,2,1,Geogenic,Moderate
IA-5,Premonsoon,IA,Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); Gibbs: Rock-water interaction,NO₃=13.4 (>NBL 10 mg/L); PIG=2.505 (moderate-high pollution),Na/Cl≈1 (halite possible); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),3,2,2,Mixed,Moderate
