Variable,PC1,PC2,PC3,PC4,PC5
pH,-0.004172710039351033,-0.24363678131369215,0.3872404971292704,0.06534982523825567,-0.3309937984248541
EC,0.435283208576488,0.1271111894233219,-0.010100141767538595,0.0071550290563303885,0.03701983859921787
TDS,0.43641133871585935,0.1200188010093291,-0.008565244280857774,0.009003869362175624,0.04158912638969858
TH,0.3059684182244568,-0.3069981844952555,0.16987060179330904,-0.14411607977207078,0.25654804445310064
Ca,0.34630217999956286,0.023081185342638255,0.06733025616200118,-0.019129261257986613,0.47617679061973217
Mg,0.17691604305266673,-0.23843020110496171,0.5042707102990587,-0.07005948246433832,-0.12818124432712624
Na,0.3233963571487144,0.29073516574788183,-0.2132268339036332,-0.13158205206847284,-0.2330796265302329
K,0.293877584034575,0.13085052917030765,-0.08122466233679854,0.2575758323343482,-0.371438700204637
Iron,0.03145939623349469,-0.09790713366518983,-0.08691691213892755,0.7926733553999116,-0.13345274601257645
HCO3,0.2004373530634972,0.5224063632621073,0.3024862918326289,-0.05768959167519231,-0.11334641874735171
Cl,0.25996305385159846,-0.36766083861777843,-0.12198797913213281,0.28232718933295753,0.33069224498669925
SO4,0.19808768199878024,-0.1636607042830362,-0.3791169398705217,-0.0017201227377601192,-0.2531280656476846
NO3,0.08618627525493858,-0.2697247000071873,-0.47483117478060816,-0.3763940712169505,-0.14904444079225046
F,0.16986301436900214,-0.37362550710602027,0.16431703068155454,-0.181248590021235,-0.39969491473793084
