pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
5.98,371.37,237.62,27.67,106.72,32.04,6.48,23.59,5.71,0.202,94.31,41.6,5.44,15.44,0.061,6.59,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.30894585061811,85.82476691300714,Premonsoon,Synthetic_Clean
6.11,459.57,294.07,24.83,123.03,34.14,9.21,32.06,8.73,0.351,94.49,46.55,25.75,38.37,0.072,6.3,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.27232134810168,85.8462783752793,Premonsoon,Synthetic_Clean
6.27,399.89,256.0,23.31,119.63,33.49,8.76,26.99,5.61,0.301,109.16,32.89,20.54,12.58,0.078,7.22,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.33396613578058,85.81778486694795,Premonsoon,Synthetic_Clean
5.2,380.51,243.55,8.75,111.87,32.9,7.33,18.53,7.06,0.308,110.48,30.13,13.57,12.05,0.04,6.75,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.331452143698357,85.83028647670781,Premonsoon,Synthetic_Clean
5.64,354.16,226.89,31.85,107.17,32.28,6.47,26.07,4.71,0.155,67.98,46.83,8.0,23.08,0.047,6.1,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.218715158296135,85.83902046690011,Premonsoon,Synthetic_Clean
6.97,412.09,263.82,41.91,114.72,32.76,8.04,26.26,6.87,0.27,98.8,47.22,20.4,9.25,0.062,7.16,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.303384789329982,85.86469845840365,Premonsoon,Synthetic_Clean
6.02,383.93,245.58,22.03,109.87,33.07,6.61,27.26,5.55,0.307,85.85,45.37,16.93,17.1,0.07,6.09,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.350208085253694,85.82084086268287,Premonsoon,Synthetic_Clean
7.0,398.23,254.75,43.05,111.72,33.94,6.52,33.13,6.07,0.221,61.59,58.31,15.37,27.5,0.066,6.51,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.32914863539734,85.82747151009197,Premonsoon,Synthetic_Clean
4.28,396.07,253.36,2.0,112.33,34.16,6.63,26.65,6.59,0.337,89.29,44.18,13.74,31.21,0.032,5.23,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.291663752642673,85.87194074717378,Premonsoon,Synthetic_Clean
5.56,387.65,248.1,16.21,114.43,33.72,7.37,25.7,7.34,0.268,70.74,42.44,20.21,31.49,0.053,5.73,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.361647792233338,85.75320760236544,Premonsoon,Synthetic_Clean
