Parameter,KS_statistic,KS_p_value,MannWhitney_p,Cohens_d,Cohens_d_interpretation,Overlap_pct,Mean_Original,Mean_Synthetic,Mean_Ratio_pct,Std_Original,Std_Synthetic,Std_Ratio_pct,Skewness_Original,Skewness_Synthetic,Delta_Skewness,Kurtosis_Original,Kurtosis_Synthetic,Delta_Kurtosis,KS_Verdict,Overall_Verdict
pH,0.1467,0.4084,0.2135,0.2219,Small,71.3,5.93,6.09,102.8,0.66,0.83,126.6,0.209,0.312,0.103,0.141,0.872,0.731,PASS,PASS
EC,0.0844,0.9489,0.7713,0.0617,Negligible,76.0,494.14,486.13,98.4,126.81,132.71,104.7,0.472,0.317,0.155,-0.883,-0.715,0.168,PASS,PASS
TDS,0.1244,0.6146,0.7416,0.0452,Negligible,72.0,319.7,315.73,98.8,83.14,92.05,110.7,0.472,0.412,0.06,-0.895,-0.541,0.353,PASS,PASS
TH,0.0911,0.912,0.8401,0.0583,Negligible,65.8,110.44,115.4,104.5,81.0,88.82,109.7,0.395,0.487,0.092,-1.091,-0.938,0.153,PASS,PASS
Alkalinity,0.0711,0.9897,0.8424,0.0557,Negligible,70.0,81.44,83.47,102.5,34.77,37.74,108.5,-0.451,-0.401,0.05,-1.191,-0.574,0.617,PASS,PASS
Ca,0.0844,0.9489,0.7302,0.0156,Negligible,74.0,40.68,40.46,99.5,12.89,14.39,111.6,0.299,0.481,0.182,-0.29,0.508,0.798,PASS,PASS
Mg,0.1289,0.5708,0.9736,0.0478,Negligible,65.3,9.12,9.33,102.3,3.93,4.78,121.6,0.897,1.25,0.353,0.594,2.341,1.746,PASS,PASS
Na,0.1,0.8465,0.5611,0.0849,Negligible,70.2,34.14,32.61,95.5,17.72,18.33,103.4,1.119,1.109,0.009,0.489,0.932,0.443,PASS,PASS
K,0.1089,0.7673,0.9784,0.0408,Negligible,60.7,9.11,9.34,102.5,5.2,6.0,115.4,0.918,0.797,0.12,-0.384,-0.051,0.333,PASS,PASS
Iron,0.0956,0.8811,0.8131,0.0869,Negligible,65.1,0.29,0.31,104.4,0.13,0.17,128.3,0.317,0.367,0.049,-0.49,-0.261,0.229,PASS,PASS
HCO3,0.1133,0.7248,0.7438,0.0577,Negligible,66.7,96.83,93.96,97.0,49.21,49.95,101.5,0.73,0.794,0.064,0.518,1.089,0.571,PASS,PASS
Cl,0.1511,0.3724,0.5173,0.0664,Negligible,66.2,70.21,72.68,103.5,37.2,37.43,100.6,0.977,0.771,0.206,-0.321,0.444,0.765,PASS,PASS
SO4,0.1044,0.8084,0.9868,0.0327,Negligible,57.1,18.78,19.06,101.5,7.91,9.14,115.4,0.031,0.292,0.261,-1.271,-0.165,1.106,PASS,PASS
NO3,0.2067,0.0906,0.0927,0.2786,Small,67.3,27.62,22.64,82.0,17.82,17.94,100.7,1.508,0.71,0.798,2.879,0.018,2.861,PASS,PASS
F,0.1867,0.1588,0.6201,0.0373,Negligible,57.8,0.1,0.09,97.4,0.06,0.07,115.6,0.769,1.012,0.243,-0.774,0.399,1.173,PASS,PASS
DO,0.1111,0.7463,0.7032,0.0471,Negligible,66.2,5.8,5.86,101.0,1.19,1.34,112.9,-1.063,-0.827,0.236,0.925,0.677,0.249,PASS,PASS
