pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
6.4,368.33,261.39,36.04,117.15,34.26,7.16,25.08,9.47,0.224,94.26,52.5,32.92,6.67,0.079,6.52,1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.30894585061811,85.82476691300714,Premonsoon,Synthetic
7.83,482.16,267.76,35.0,121.54,33.97,9.68,32.37,9.11,0.36,108.41,31.63,23.45,43.68,0.017,6.02,2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.27232134810168,85.8462783752793,Premonsoon,Synthetic
5.52,464.3,267.19,9.96,116.0,33.33,8.33,27.14,7.97,0.477,102.62,47.35,29.12,18.32,0.01,7.53,3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.33396613578058,85.81778486694795,Premonsoon,Synthetic
6.27,447.77,263.34,28.11,107.18,32.16,6.21,30.97,5.85,0.277,100.55,65.28,21.87,22.46,0.03,6.05,4,Population Density,OMFED Square (Syn),SYN-PD-4,20.331452143698357,85.83028647670781,Premonsoon,Synthetic
7.08,241.14,143.02,17.86,99.8,31.66,4.16,12.73,5.53,0.192,78.07,38.67,9.36,0.5,0.04,6.58,5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.218715158296135,85.83902046690011,Premonsoon,Synthetic
7.1,409.29,268.22,22.67,117.27,32.98,8.38,35.88,6.34,0.246,71.86,50.57,13.79,35.35,0.062,5.38,6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.303384789329982,85.86469845840365,Premonsoon,Synthetic
5.74,367.53,278.36,29.15,115.73,34.16,6.89,25.44,5.51,0.25,100.74,49.67,10.19,25.38,0.049,7.58,7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.350208085253694,85.82084086268287,Premonsoon,Synthetic
6.56,308.48,193.11,45.09,103.79,31.92,6.94,12.47,6.4,0.148,89.22,11.03,18.16,1.66,0.068,6.21,8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.32914863539734,85.82747151009197,Premonsoon,Synthetic
5.31,296.53,164.25,2.0,98.13,31.08,5.08,19.69,5.68,0.199,90.42,18.92,5.63,11.01,0.026,6.52,9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.291663752642673,85.87194074717378,Premonsoon,Synthetic
6.33,345.03,261.07,29.12,110.42,33.24,6.57,32.13,3.41,0.228,89.2,51.24,8.36,7.48,0.092,7.4,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.361647792233338,85.75320760236544,Premonsoon,Synthetic
