Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,CBE,TCC_meq,TCA_meq,CBE_Valid
1,Population Density,Acharya Vihar,PD-1,20.303531,85.826217,Premonsoon,4.89,300.0,192.0,7.0,102.0,32.55,5.04,16.48,4.27,0.12,63.12,31.03,6.7,24.02,0.05,5.18,8.081458075102754,2.865106878774744,2.4366477973767604,True
2,Population Density,Ram Mandir,PD-2,20.278197,85.840284,Premonsoon,5.58,403.0,258.0,22.0,113.0,34.73,6.46,28.92,6.31,0.39,65.34,54.56,22.8,28.82,0.05,6.11,1.8612546881515382,3.684040483117669,3.549407591709933,True
3,Population Density,Sailashree Vihar,PD-3,20.337294,85.810481,Premonsoon,5.13,331.0,212.0,6.0,107.0,32.64,6.19,15.88,6.5,0.28,89.0,27.01,14.4,12.35,0.03,6.51,4.824804937109078,2.9951830469717087,2.7194625443436395,True
4,Population Density,OMFED Square,PD-4,20.323147,85.82309,Premonsoon,5.81,366.0,234.0,16.0,107.0,32.75,6.05,27.83,4.18,0.27,95.42,38.54,8.5,17.84,0.06,6.3,5.087043251899427,3.4496056103908863,3.115629272318663,True
5,Population Density,Old Town Bhubaneswar,PD-5,20.228015,85.833273,Premonsoon,7.81,350.0,224.0,49.0,108.0,32.12,6.71,21.16,5.6,0.12,81.85,39.12,11.9,4.87,0.08,7.48,7.470611503642716,3.218680466045794,2.7711997830987767,True
6,Industrial areas,Mancheswar Industrial Estate,IA-1,20.305158,85.857224,Premonsoon,6.76,508.0,325.0,42.0,119.0,34.3,8.13,33.87,8.71,0.35,116.25,64.85,22.9,32.89,0.07,6.34,-7.540960665481612,4.076724035913595,4.74171938564076,True
7,Industrial areas,Chandaka Industrial Estate,IA-2,20.347449,85.814168,Premonsoon,4.48,422.0,270.0,9.0,116.0,33.32,8.0,34.55,5.51,0.36,101.5,44.61,7.8,32.65,0.03,6.18,4.673741137945154,3.96485889702735,3.6107925584837854,True
8,Industrial areas,OMFED Industries,IA-3,20.32916,85.826771,Premonsoon,6.38,409.0,262.0,39.0,113.0,33.5,7.06,32.74,6.37,0.26,76.1,58.13,19.09,22.66,0.04,6.79,2.5353787486757944,3.839739680164313,3.6498502097328887,True
9,Industrial areas,Rasulgarh,IA-4,20.298776,85.866261,Premonsoon,6.57,395.0,253.0,36.0,112.0,33.44,6.95,21.69,5.94,0.22,111.38,41.79,15.71,9.85,0.08,6.54,-2.256817169474722,3.336050969634915,3.490104825637722,True
10,Industrial areas,Anmol Industries Dabua,IA-5,20.36326,85.753206,Premonsoon,5.35,350.0,224.0,11.0,105.0,31.53,6.39,20.37,5.53,0.22,83.89,35.01,12.08,13.39,0.03,6.39,4.984183399636352,3.1267488519715467,2.829860516640025,True
