Location_ID,Season,Parameter,Ci_measured,Si_standard,wi_raw_weight,Wi_relative_weight,qi_sub_index,Wi_x_qi
PD-1,Premonsoon,pH,4.89,8.5,4,0.076923,57.5294,4.4253
PD-1,Premonsoon,EC,300.0,750,4,0.076923,40.0,3.0769
PD-1,Premonsoon,TDS,192.0,500,5,0.096154,38.4,3.6923
PD-1,Premonsoon,TH,7.0,200,2,0.038462,3.5,0.1346
PD-1,Premonsoon,Alkalinity,102.0,200,2,0.038462,51.0,1.9615
PD-1,Premonsoon,Ca,32.55,75,2,0.038462,43.4,1.6692
PD-1,Premonsoon,Mg,5.04,30,2,0.038462,16.8,0.6462
PD-1,Premonsoon,Na,16.48,200,3,0.057692,8.24,0.4754
PD-1,Premonsoon,K,4.27,12,2,0.038462,35.5833,1.3686
PD-1,Premonsoon,Iron,0.12,0.3,4,0.076923,40.0,3.0769
PD-1,Premonsoon,HCO3,63.12,300,1,0.019231,21.04,0.4046
PD-1,Premonsoon,Cl,31.03,250,3,0.057692,12.412,0.7161
PD-1,Premonsoon,SO4,6.7,200,4,0.076923,3.35,0.2577
PD-1,Premonsoon,NO3,24.02,45,5,0.096154,53.3778,5.1325
PD-1,Premonsoon,F,0.05,1.0,5,0.096154,5.0,0.4808
PD-1,Premonsoon,DO,5.18,6.0,4,0.076923,86.3333,6.641
PD-1,Premonsoon,--- WQI_TOTAL ---,,,,,,34.1597
PD-2,Premonsoon,pH,5.58,8.5,4,0.076923,65.6471,5.0498
PD-2,Premonsoon,EC,403.0,750,4,0.076923,53.7333,4.1333
PD-2,Premonsoon,TDS,258.0,500,5,0.096154,51.6,4.9615
PD-2,Premonsoon,TH,22.0,200,2,0.038462,11.0,0.4231
PD-2,Premonsoon,Alkalinity,113.0,200,2,0.038462,56.5,2.1731
PD-2,Premonsoon,Ca,34.73,75,2,0.038462,46.3067,1.781
PD-2,Premonsoon,Mg,6.46,30,2,0.038462,21.5333,0.8282
PD-2,Premonsoon,Na,28.92,200,3,0.057692,14.46,0.8342
PD-2,Premonsoon,K,6.31,12,2,0.038462,52.5833,2.0224
PD-2,Premonsoon,Iron,0.39,0.3,4,0.076923,130.0,10.0
PD-2,Premonsoon,HCO3,65.34,300,1,0.019231,21.78,0.4188
PD-2,Premonsoon,Cl,54.56,250,3,0.057692,21.824,1.2591
